Option,Jeb Bush,Ben Carson,Chris Christie,Hillary Clinton,Ted Cruz,Carly Fiorina,Martin O'Malley,Rand Paul,Marco Rubio,Bernie Sanders,Donald Trump,Other,I am unsure,I am uninterested in voting or ineligible to vote
Jeb Bush,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Carson,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Chris Christie,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Hillary Clinton,0,0,0,205,0,0,0,0,0,0,0,0,0,0
Ted Cruz,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carly Fiorina,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Martin O'Malley,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Rand Paul,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Marco Rubio,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Bernie Sanders,0,0,0,0,0,0,0,0,0,407,0,0,0,0
Donald Trump,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,6,0,0
I am unsure,0,0,0,0,0,0,0,0,0,0,0,0,139,0
I am uninterested in voting or ineligible to vote,0,0,0,0,0,0,0,0,0,0,0,0,0,77
